Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Cross-WYS-3_R1_001_trimmed_1P	Cross-WYS-3_R1_001_trimmed_1P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21174015.0	3.1 Gbp	0.0	50-150	46.0	41.92615430137263	149.32938750633735	150	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
Cross-WYS-3_R1_001_trimmed_1U	Cross-WYS-3_R1_001_trimmed_1U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3628847.0	435.1 Mbp	0.0	50-150	45.0	59.445860635474645	119.98424733806634	127	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
Cross-WYS-3_R1_001_trimmed_2P	Cross-WYS-3_R1_001_trimmed_2P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21174015.0	3.1 Gbp	0.0	50-150	46.0	41.596358325439915	147.95735558419128	150	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
Cross-WYS-3_R1_001_trimmed_2U	Cross-WYS-3_R1_001_trimmed_2U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	209491.0	26 Mbp	0.0	50-150	45.0	90.46057029124562	124.61753965564154	147	pass	pass	warn	pass	warn	warn	pass	warn	pass	warn	pass
Cross-gam-1_R1_001_trimmed_1P	Cross-gam-1_R1_001_trimmed_1P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18488617.0	2.7 Gbp	0.0	50-150	46.0	40.93322168903825	149.28775013296018	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
Cross-gam-1_R1_001_trimmed_1U	Cross-gam-1_R1_001_trimmed_1U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3223070.0	390.8 Mbp	0.0	50-150	46.0	57.05875806700749	121.33380426115474	127	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
Cross-gam-1_R1_001_trimmed_2P	Cross-gam-1_R1_001_trimmed_2P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18488617.0	2.7 Gbp	0.0	50-150	46.0	40.420855095303274	147.57919621570397	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
Cross-gam-1_R1_001_trimmed_2U	Cross-gam-1_R1_001_trimmed_2U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	184219.0	22.8 Mbp	0.0	50-150	46.0	83.09605278348553	123.91383896340768	147	pass	pass	warn	pass	warn	pass	pass	warn	pass	warn	pass
Cross-gam-2_R1_001_trimmed_1P	Cross-gam-2_R1_001_trimmed_1P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18827720.0	2.8 Gbp	0.0	50-150	46.0	40.88033336889564	149.30684581032648	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
Cross-gam-2_R1_001_trimmed_1U	Cross-gam-2_R1_001_trimmed_1U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3385345.0	406.7 Mbp	0.0	50-150	46.0	57.92644401668662	120.21052123195716	127	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
Cross-gam-2_R1_001_trimmed_2P	Cross-gam-2_R1_001_trimmed_2P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18827720.0	2.7 Gbp	0.0	50-150	46.0	40.208824715826246	147.91190348592394	150	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
Cross-gam-2_R1_001_trimmed_2U	Cross-gam-2_R1_001_trimmed_2U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	191340.0	23.8 Mbp	0.0	50-150	46.0	86.28319221014812	124.66719452283893	147	pass	pass	warn	pass	warn	pass	pass	warn	pass	warn	pass
Cross-gam-3_R1_001_trimmed_1P	Cross-gam-3_R1_001_trimmed_1P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16981161.0	2.5 Gbp	0.0	50-150	46.0	43.90926665320278	149.36641098921328	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
Cross-gam-3_R1_001_trimmed_1U	Cross-gam-3_R1_001_trimmed_1U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2347920.0	285.9 Mbp	0.0	50-150	46.0	64.70867058002976	121.86794609697094	127	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
Cross-gam-3_R1_001_trimmed_2P	Cross-gam-3_R1_001_trimmed_2P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16981161.0	2.4 Gbp	0.0	50-150	46.0	43.300407184612396	147.37821445188584	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
Cross-gam-3_R1_001_trimmed_2U	Cross-gam-3_R1_001_trimmed_2U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	159002.0	19.5 Mbp	0.0	50-150	46.0	90.05340945382272	122.88977182676948	147	pass	pass	warn	pass	warn	pass	pass	warn	pass	warn	pass
RESUB-WT-WYS-4_R1_001_trimmed_1P	RESUB-WT-WYS-4_R1_001_trimmed_1P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20769956.0	3 Gbp	0.0	50-150	45.0	43.641528266030996	149.35244826710274	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
RESUB-WT-WYS-4_R1_001_trimmed_1U	RESUB-WT-WYS-4_R1_001_trimmed_1U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3247923.0	390.5 Mbp	0.0	50-150	45.0	62.21852332256421	120.30749328109071	127	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
RESUB-WT-WYS-4_R1_001_trimmed_2P	RESUB-WT-WYS-4_R1_001_trimmed_2P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20769956.0	3 Gbp	0.0	50-150	45.0	43.00608502064231	147.87527132941446	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
RESUB-WT-WYS-4_R1_001_trimmed_2U	RESUB-WT-WYS-4_R1_001_trimmed_2U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	196667.0	24.3 Mbp	0.0	50-150	45.0	88.71508480313281	124.08610239643662	147	pass	pass	warn	pass	warn	pass	pass	warn	pass	warn	pass
RNAi-S5-1_R1_001_trimmed_1P	RNAi-S5-1_R1_001_trimmed_1P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16950856.0	2.5 Gbp	0.0	50-150	46.0	32.761805327461424	149.43622118552597	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
RNAi-S5-1_R1_001_trimmed_1U	RNAi-S5-1_R1_001_trimmed_1U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3209629.0	385.2 Mbp	0.0	50-150	46.0	48.157008872413414	120.09375476106429	127	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
RNAi-S5-1_R1_001_trimmed_2P	RNAi-S5-1_R1_001_trimmed_2P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16950856.0	2.4 Gbp	0.0	50-150	46.0	31.86256994109136	147.38224420642828	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
RNAi-S5-1_R1_001_trimmed_2U	RNAi-S5-1_R1_001_trimmed_2U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	149929.0	18.3 Mbp	0.0	50-150	46.0	85.91369934205278	122.24425894923597	147	pass	pass	warn	pass	warn	pass	pass	warn	pass	warn	pass
RNAi-S5-2_R1_001_trimmed_1P	RNAi-S5-2_R1_001_trimmed_1P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21658311.0	3.2 Gbp	0.0	50-150	46.0	35.993796191380824	149.31237285769882	150	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
RNAi-S5-2_R1_001_trimmed_1U	RNAi-S5-2_R1_001_trimmed_1U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3899520.0	468.9 Mbp	0.0	50-150	46.0	51.47896754714576	120.32903459913015	127	pass	pass	pass	pass	warn	pass	pass	warn	warn	warn	pass
RNAi-S5-2_R1_001_trimmed_2P	RNAi-S5-2_R1_001_trimmed_2P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21658311.0	3.1 Gbp	0.0	50-150	46.0	35.31966159549131	147.85405567867227	150	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
RNAi-S5-2_R1_001_trimmed_2U	RNAi-S5-2_R1_001_trimmed_2U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	213920.0	26.5 Mbp	0.0	50-150	46.0	83.87106985251404	124.23830403889305	147	pass	pass	warn	pass	warn	pass	pass	warn	pass	warn	pass
RNAi-S5-3_R1_001_trimmed_1P	RNAi-S5-3_R1_001_trimmed_1P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19693770.0	2.9 Gbp	0.0	50-150	47.0	31.07634552965852	149.28582341014442	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
RNAi-S5-3_R1_001_trimmed_1U	RNAi-S5-3_R1_001_trimmed_1U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3078622.0	368.1 Mbp	0.0	50-150	46.0	47.10030022563394	119.63706424497714	122	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
RNAi-S5-3_R1_001_trimmed_2P	RNAi-S5-3_R1_001_trimmed_2P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19693770.0	2.9 Gbp	0.0	50-150	47.0	30.313831547058683	148.31787270796806	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass
RNAi-S5-3_R1_001_trimmed_2U	RNAi-S5-3_R1_001_trimmed_2U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	207791.0	26.1 Mbp	0.0	50-150	47.0	81.45837861658599	126.17565727100789	150	pass	pass	warn	pass	warn	pass	pass	warn	pass	warn	pass
RNAi-WYS-1_R1_001_trimmed_1P	RNAi-WYS-1_R1_001_trimmed_1P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19578215.0	2.9 Gbp	0.0	50-150	46.0	41.21105874343618	149.32121551939235	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
RNAi-WYS-1_R1_001_trimmed_1U	RNAi-WYS-1_R1_001_trimmed_1U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2903253.0	349 Mbp	0.0	50-150	46.0	60.07895411769143	120.30544220569134	127	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
RNAi-WYS-1_R1_001_trimmed_2P	RNAi-WYS-1_R1_001_trimmed_2P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19578215.0	2.8 Gbp	0.0	50-150	46.0	40.93576646655317	147.79141584153612	150	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
RNAi-WYS-1_R1_001_trimmed_2U	RNAi-WYS-1_R1_001_trimmed_2U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	192563.0	23.8 Mbp	0.0	50-150	46.0	83.21823673201385	123.79944226045502	147	pass	pass	warn	pass	warn	pass	pass	warn	pass	warn	pass
RNAi-WYS-2_R1_001_trimmed_1P	RNAi-WYS-2_R1_001_trimmed_1P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20111783.0	2.9 Gbp	0.0	50-150	46.0	40.662242480099295	149.3381530369535	150	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
RNAi-WYS-2_R1_001_trimmed_1U	RNAi-WYS-2_R1_001_trimmed_1U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3172116.0	384.2 Mbp	0.0	50-150	46.0	58.38764534361677	121.18624003661908	127	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
RNAi-WYS-2_R1_001_trimmed_2P	RNAi-WYS-2_R1_001_trimmed_2P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20111783.0	2.9 Gbp	0.0	50-150	46.0	40.53203310029511	147.54617263422145	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass
RNAi-WYS-2_R1_001_trimmed_2U	RNAi-WYS-2_R1_001_trimmed_2U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	194016.0	23.9 Mbp	0.0	50-150	46.0	81.09603075302758	123.38424666006927	147	pass	pass	warn	pass	warn	pass	pass	warn	pass	warn	pass
RNAi-WYS-3_R1_001_trimmed_1P	RNAi-WYS-3_R1_001_trimmed_1P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24682689.0	3.6 Gbp	0.0	50-150	46.0	37.127950647251154	149.30011999502972	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
RNAi-WYS-3_R1_001_trimmed_1U	RNAi-WYS-3_R1_001_trimmed_1U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4588326.0	543.9 Mbp	0.0	50-150	45.0	52.89928995992145	118.6010865400584	122	pass	pass	pass	pass	warn	warn	pass	warn	warn	pass	pass
RNAi-WYS-3_R1_001_trimmed_2P	RNAi-WYS-3_R1_001_trimmed_2P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24682689.0	3.6 Gbp	0.0	50-150	46.0	36.450447908619225	148.43950134444427	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
RNAi-WYS-3_R1_001_trimmed_2U	RNAi-WYS-3_R1_001_trimmed_2U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	257209.0	32.3 Mbp	0.0	50-150	46.0	87.78927937195719	125.97530024221547	150	pass	pass	warn	pass	warn	pass	pass	warn	pass	warn	pass
RNAi-gam-1_R1_001_trimmed_1P	RNAi-gam-1_R1_001_trimmed_1P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18162894.0	2.7 Gbp	0.0	50-150	46.0	44.85498877943537	149.30340459510472	150	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
RNAi-gam-1_R1_001_trimmed_1U	RNAi-gam-1_R1_001_trimmed_1U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3008831.0	362 Mbp	0.0	50-150	45.0	61.978593914276345	120.37476930409186	127	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
RNAi-gam-1_R1_001_trimmed_2P	RNAi-gam-1_R1_001_trimmed_2P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18162894.0	2.6 Gbp	0.0	50-150	46.0	44.52450681077444	147.91949928243815	150	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
RNAi-gam-1_R1_001_trimmed_2U	RNAi-gam-1_R1_001_trimmed_2U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	179167.0	22.1 Mbp	0.0	50-150	45.0	86.01169724157481	123.83293519453917	147	pass	pass	warn	pass	warn	pass	pass	warn	pass	warn	pass
RNAi-gam-2_R1_001_trimmed_1P	RNAi-gam-2_R1_001_trimmed_1P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20633557.0	3 Gbp	0.0	50-150	46.0	39.07380247032191	149.2895272007633	150	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
RNAi-gam-2_R1_001_trimmed_1U	RNAi-gam-2_R1_001_trimmed_1U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3559723.0	430.1 Mbp	0.0	50-150	46.0	54.30145733436144	120.90128417295391	127	pass	pass	pass	pass	warn	pass	pass	warn	warn	warn	pass
RNAi-gam-2_R1_001_trimmed_2P	RNAi-gam-2_R1_001_trimmed_2P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20633557.0	3 Gbp	0.0	50-150	46.0	39.10873584113769	147.6745702885838	150	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
RNAi-gam-2_R1_001_trimmed_2U	RNAi-gam-2_R1_001_trimmed_2U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	198089.0	24.5 Mbp	0.0	50-150	46.0	76.6333644505397	124.20714931167304	147	pass	pass	warn	pass	warn	pass	pass	warn	pass	warn	pass
RNAi-gam-3_R1_001_trimmed_1P	RNAi-gam-3_R1_001_trimmed_1P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23643092.0	3.5 Gbp	0.0	50-150	45.0	47.889810507576655	149.2761219640815	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
RNAi-gam-3_R1_001_trimmed_1U	RNAi-gam-3_R1_001_trimmed_1U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3886266.0	468.5 Mbp	0.0	50-150	45.0	66.0711056980824	120.62791095617233	127	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
RNAi-gam-3_R1_001_trimmed_2P	RNAi-gam-3_R1_001_trimmed_2P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23643092.0	3.4 Gbp	0.0	50-150	45.0	47.40857455437434	147.6606400930978	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
RNAi-gam-3_R1_001_trimmed_2U	RNAi-gam-3_R1_001_trimmed_2U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	231297.0	28.6 Mbp	0.0	50-150	45.0	93.77744224607268	124.05471104251244	147	pass	pass	warn	pass	warn	pass	pass	warn	pass	warn	pass
WT-S5-1_R1_001_trimmed_1P	WT-S5-1_R1_001_trimmed_1P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19050134.0	2.8 Gbp	0.0	50-150	46.0	40.144860620625124	149.38149248713947	150	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
WT-S5-1_R1_001_trimmed_1U	WT-S5-1_R1_001_trimmed_1U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3865416.0	463.3 Mbp	0.0	50-150	46.0	55.36203855775656	119.91495300893875	122	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
WT-S5-1_R1_001_trimmed_2P	WT-S5-1_R1_001_trimmed_2P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19050134.0	2.8 Gbp	0.0	50-150	46.0	39.18310074383875	147.6902413389848	150	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
WT-S5-1_R1_001_trimmed_2U	WT-S5-1_R1_001_trimmed_2U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	177805.0	21.7 Mbp	0.0	50-150	46.0	87.35680145956934	122.62901774415792	147	pass	pass	warn	pass	warn	pass	pass	warn	pass	warn	pass
WT-S5-2_R1_001_trimmed_1P	WT-S5-2_R1_001_trimmed_1P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21365064.0	3.1 Gbp	0.0	50-150	46.0	35.745844484442344	149.38936787177423	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
WT-S5-2_R1_001_trimmed_1U	WT-S5-2_R1_001_trimmed_1U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3817977.0	458.6 Mbp	0.0	50-150	46.0	52.14446032237186	120.17779258492128	127	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
WT-S5-2_R1_001_trimmed_2P	WT-S5-2_R1_001_trimmed_2P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21365064.0	3.1 Gbp	0.0	50-150	47.0	35.130025780227506	147.82723615992913	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
WT-S5-2_R1_001_trimmed_2U	WT-S5-2_R1_001_trimmed_2U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	198404.0	24.4 Mbp	0.0	50-150	46.0	84.2041083718285	123.41934134392451	147	pass	pass	warn	pass	warn	pass	pass	warn	pass	warn	pass
WT-S5-3_R1_001_trimmed_1P	WT-S5-3_R1_001_trimmed_1P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20656090.0	3 Gbp	0.0	50-150	47.0	37.054083220849876	149.34393546891013	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
WT-S5-3_R1_001_trimmed_1U	WT-S5-3_R1_001_trimmed_1U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2980197.0	358.9 Mbp	0.0	50-150	47.0	55.34710021942644	120.51122207692981	127	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
WT-S5-3_R1_001_trimmed_2P	WT-S5-3_R1_001_trimmed_2P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20656090.0	3 Gbp	0.0	50-150	47.0	35.56883792227018	148.01901093091675	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
WT-S5-3_R1_001_trimmed_2U	WT-S5-3_R1_001_trimmed_2U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	206066.0	25.6 Mbp	0.0	50-150	47.0	87.80872280486494	124.48033639707667	147	pass	pass	warn	pass	warn	pass	pass	warn	pass	warn	pass
WT-WYS-2_R1_001_trimmed_1P	WT-WYS-2_R1_001_trimmed_1P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18868537.0	2.8 Gbp	0.0	50-150	44.0	48.63143866377459	149.27646711560095	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
WT-WYS-2_R1_001_trimmed_1U	WT-WYS-2_R1_001_trimmed_1U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3305950.0	399.9 Mbp	0.0	50-150	44.0	66.21665189454549	121.05343532116336	127	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
WT-WYS-2_R1_001_trimmed_2P	WT-WYS-2_R1_001_trimmed_2P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18868537.0	2.7 Gbp	0.0	50-150	45.0	47.810196591847976	147.59835773170968	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
WT-WYS-2_R1_001_trimmed_2U	WT-WYS-2_R1_001_trimmed_2U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	183847.0	22.7 Mbp	0.0	50-150	44.0	91.27100579048984	123.6224768421568	147	pass	pass	warn	pass	warn	pass	pass	warn	pass	warn	pass
WT-WYS-3_R1_001_trimmed_1P	WT-WYS-3_R1_001_trimmed_1P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19211352.0	2.8 Gbp	0.0	50-150	45.0	46.77507721571976	149.28379978150417	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
WT-WYS-3_R1_001_trimmed_1U	WT-WYS-3_R1_001_trimmed_1U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3192378.0	377.3 Mbp	0.0	50-150	45.0	64.63357435116394	118.2681764189579	122	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
WT-WYS-3_R1_001_trimmed_2P	WT-WYS-3_R1_001_trimmed_2P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19211352.0	2.8 Gbp	0.0	50-150	45.0	45.942500749297935	148.08405517217113	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
WT-WYS-3_R1_001_trimmed_2U	WT-WYS-3_R1_001_trimmed_2U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	194787.0	24.2 Mbp	0.0	50-150	45.0	90.2922728826949	124.51394600255664	147	pass	pass	warn	pass	warn	pass	pass	warn	pass	warn	pass
WT-male-gam-1_R1_001_trimmed_1P	WT-male-gam-1_R1_001_trimmed_1P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20321249.0	3 Gbp	0.0	50-150	45.0	48.25352374204247	149.27997649160247	150	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
WT-male-gam-1_R1_001_trimmed_1U	WT-male-gam-1_R1_001_trimmed_1U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3279949.0	391.1 Mbp	0.0	50-150	45.0	67.29678751464272	119.29890388539577	122	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
WT-male-gam-1_R1_001_trimmed_2P	WT-male-gam-1_R1_001_trimmed_2P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20321249.0	2.9 Gbp	0.0	50-150	45.0	47.59527089677294	147.97331300846716	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
WT-male-gam-1_R1_001_trimmed_2U	WT-male-gam-1_R1_001_trimmed_2U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	202327.0	25.1 Mbp	0.0	50-150	45.0	94.72791940518336	124.51435300281229	147	pass	pass	warn	pass	warn	pass	pass	warn	pass	warn	pass
WT-male-gam-2_R1_001_trimmed_1P	WT-male-gam-2_R1_001_trimmed_1P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22548772.0	3.3 Gbp	0.0	50-150	45.0	47.39108260140063	149.2855345515046	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
WT-male-gam-2_R1_001_trimmed_1U	WT-male-gam-2_R1_001_trimmed_1U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3017820.0	362 Mbp	0.0	50-150	45.0	67.81926865225209	120.02038077155032	127	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
WT-male-gam-2_R1_001_trimmed_2P	WT-male-gam-2_R1_001_trimmed_2P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22548772.0	3.3 Gbp	0.0	50-150	45.0	46.88011951373509	148.1683186561113	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
WT-male-gam-2_R1_001_trimmed_2U	WT-male-gam-2_R1_001_trimmed_2U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	223525.0	27.8 Mbp	0.0	50-150	45.0	94.25840482606803	124.7358214964769	147	pass	pass	warn	pass	warn	pass	pass	warn	pass	warn	pass
WT-male-gam-3_R1_001_trimmed_1P	WT-male-gam-3_R1_001_trimmed_1P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23839279.0	3.5 Gbp	0.0	50-150	45.0	46.42334846039037	149.28189957003315	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
WT-male-gam-3_R1_001_trimmed_1U	WT-male-gam-3_R1_001_trimmed_1U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3564477.0	422.8 Mbp	0.0	50-150	45.0	64.80604638738888	118.67746726939184	122	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
WT-male-gam-3_R1_001_trimmed_2P	WT-male-gam-3_R1_001_trimmed_2P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23839279.0	3.5 Gbp	0.0	50-150	45.0	45.00288827797662	147.8294144927789	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
WT-male-gam-3_R1_001_trimmed_2U	WT-male-gam-3_R1_001_trimmed_2U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	233853.0	28.8 Mbp	0.0	50-150	45.0	93.77334334717497	123.38258435855003	147	pass	pass	fail	pass	warn	pass	pass	warn	pass	warn	pass
WT-mature-herm-1_R1_001_trimmed_1P	WT-mature-herm-1_R1_001_trimmed_1P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21986527.0	3.2 Gbp	0.0	50-150	49.0	25.543973692488137	149.292265645229	150	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
WT-mature-herm-1_R1_001_trimmed_1U	WT-mature-herm-1_R1_001_trimmed_1U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3723922.0	462.8 Mbp	0.0	50-150	49.0	38.95277047554336	124.40218712959079	127	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
WT-mature-herm-1_R1_001_trimmed_2P	WT-mature-herm-1_R1_001_trimmed_2P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21986527.0	3.2 Gbp	0.0	50-150	49.0	24.67957291460549	148.98236040189522	150	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
