Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
BF5-WYS_R1_001	(1.0, 25.38576677761657)	(2.0, 15.315592302416784)	(3.0, 9.77915935775919)	(4.0, 6.388891629612497)	(5.0, 4.16436712239825)	(6.0, 2.9576787755042777)	(7.0, 2.2161514823113055)	(8.0, 1.7534062149599208)	(9.0, 1.468027673669344)	('>10', 14.451158730236966)	('>50', 4.03155988384797)	('>100', 7.745585768847758)	('>500', 2.339117000386539)	('>1k', 1.821749926449988)	('>5k', 0.18178735398272788)	('>10k+', 0.0)
BF5-WYS_R2_001	(1.0, 26.642257271850962)	(2.0, 14.672908308970703)	(3.0, 9.338907551998478)	(4.0, 6.022345608485027)	(5.0, 4.1249247909423445)	(6.0, 2.953428229607657)	(7.0, 2.118425234252649)	(8.0, 1.7597538042963639)	(9.0, 1.3802551945998283)	('>10', 14.360498090960222)	('>50', 4.073515465367798)	('>100', 7.665855485601654)	('>500', 2.6304939109023913)	('>1k', 1.9517896312639944)	('>5k', 0.23760957397264676)	('>10k+', 0.06703184692733635)
BF5-gam_R1_001	(1.0, 18.492289498913106)	(2.0, 12.311504759163281)	(3.0, 8.693226320887874)	(4.0, 5.95352582849902)	(5.0, 4.089109935536393)	(6.0, 3.055732246803141)	(7.0, 2.180602116503792)	(8.0, 1.805749354271845)	(9.0, 1.4394833131591465)	('>10', 14.70148161283103)	('>50', 4.345148546818651)	('>100', 10.238817772627842)	('>500', 4.788204394290337)	('>1k', 6.853965456567844)	('>5k', 0.6605240403368243)	('>10k+', 0.3906348027899272)
BF5-gam_R2_001	(1.0, 19.131818699386834)	(2.0, 12.00593285391427)	(3.0, 8.377100011798829)	(4.0, 5.807034621544579)	(5.0, 4.038659230906208)	(6.0, 2.8223679909205743)	(7.0, 2.2065062174567527)	(8.0, 1.6541872091675156)	(9.0, 1.3897153863266762)	('>10', 14.794836216387585)	('>50', 4.210621884944913)	('>100', 9.919815512017324)	('>500', 5.119416828125754)	('>1k', 7.139030518722361)	('>5k', 0.8571821565062427)	('>10k+', 0.5257746618736098)
Cross-S5-1_R1_001	(1.0, 25.09472359031413)	(2.0, 14.724657547504904)	(3.0, 9.448574842579276)	(4.0, 6.066284181753799)	(5.0, 3.98568590235963)	(6.0, 2.876330608947376)	(7.0, 2.209616495853648)	(8.0, 1.666382484483639)	(9.0, 1.342660391043404)	('>10', 13.945197023268454)	('>50', 4.072310224115206)	('>100', 8.353171614614507)	('>500', 3.0096472675827033)	('>1k', 2.8835758009824404)	('>5k', 0.25850980935671564)	('>10k+', 0.06267221524017916)
Cross-S5-1_R2_001	(1.0, 26.53226255416658)	(2.0, 14.137797947016745)	(3.0, 8.982443628992726)	(4.0, 5.7469224999938024)	(5.0, 3.911359849586254)	(6.0, 2.7973079770955422)	(7.0, 2.0981919556378426)	(8.0, 1.6661876073179835)	(9.0, 1.278048536593481)	('>10', 13.95135113709998)	('>50', 3.916498543548668)	('>100', 8.274723437244393)	('>500', 3.2514413506615893)	('>1k', 3.0111391663408327)	('>5k', 0.29793563326149225)	('>10k+', 0.14638817544186694)
Cross-S5-2_R1_001	(1.0, 25.30422542861755)	(2.0, 15.260138144474771)	(3.0, 9.828627271731529)	(4.0, 6.429697194316339)	(5.0, 4.441667394750288)	(6.0, 3.1543035087993894)	(7.0, 2.363778212726525)	(8.0, 1.8149515610453213)	(9.0, 1.455005618314436)	('>10', 15.427195581789524)	('>50', 4.124240980584529)	('>100', 7.149361024529988)	('>500', 1.8079133902831765)	('>1k', 1.3732571003514304)	('>5k', 0.06563758768527195)	('>10k+', 0.0)
Cross-S5-2_R2_001	(1.0, 26.005279265554236)	(2.0, 14.560860768382474)	(3.0, 9.445465957225396)	(4.0, 6.234180922941755)	(5.0, 4.15146283149482)	(6.0, 3.007840608603294)	(7.0, 2.294903423808016)	(8.0, 1.7546171788275249)	(9.0, 1.486789231900203)	('>10', 15.263152408119835)	('>50', 4.217770390380643)	('>100', 7.559591542191512)	('>500', 2.1880537516116427)	('>1k', 1.5981066287630135)	('>5k', 0.16291647301390164)	('>10k+', 0.06900861718160171)
Cross-S5-3_R1_001	(1.0, 22.263899892534983)	(2.0, 12.821239042523224)	(3.0, 8.022745123122316)	(4.0, 5.147728836398421)	(5.0, 3.5039568574291664)	(6.0, 2.457091687428954)	(7.0, 1.871946188234437)	(8.0, 1.4305404882719635)	(9.0, 1.189473479215)	('>10', 12.414107324122455)	('>50', 3.9967921288971886)	('>100', 10.601652176114703)	('>500', 5.562350969543312)	('>1k', 7.653705666456578)	('>5k', 0.6336397143545928)	('>10k+', 0.4291304253526351)
Cross-S5-3_R2_001	(1.0, 22.900297303011932)	(2.0, 12.440379434441102)	(3.0, 7.879437155645339)	(4.0, 5.0544330006048295)	(5.0, 3.3562668245531233)	(6.0, 2.441418518635)	(7.0, 1.8310761231117993)	(8.0, 1.4288199090285407)	(9.0, 1.1750665422834379)	('>10', 12.263888552749183)	('>50', 3.7308123938903544)	('>100', 10.352471856864183)	('>500', 5.71080047144056)	('>1k', 7.96597262141158)	('>5k', 0.8766597310435947)	('>10k+', 0.5921995612853632)
