"hubGene","genes","cor"
"Ceric.16G028400.1","Ceric.28G065300.1",0.5
"Ceric.16G028400.1","Ceric.13G087600.1",0.499
"Ceric.16G028400.1","Ceric.17G042400.1",0.499
"Ceric.16G028400.1","Ceric.25G057100.1",0.499
"Ceric.21G002900.1","Ceric.21G002900.1",1
"Ceric.21G002900.1","Ceric.32G005000.1",0.886
"Ceric.21G002900.1","Ceric.05G093300.1",0.882
"Ceric.21G002900.1","Ceric.23G029800.1",0.877
"Ceric.21G002900.1","Ceric.12G011200.1",0.872
"Ceric.21G002900.1","Ceric.16G056600.1",0.871
"Ceric.21G002900.1","Ceric.33G060000.1",0.866
"Ceric.21G002900.1","Ceric.01G002100.1",0.865
"Ceric.21G002900.1","Ceric.34G019100.1",0.863
"Ceric.21G002900.1","Ceric.36G034000.1",0.863
"Ceric.21G002900.1","Ceric.25G044400.1",0.853
"Ceric.21G002900.1","Ceric.11G098400.1",0.851
"Ceric.21G002900.1","Ceric.17G068300.1",0.848
"Ceric.21G002900.1","Ceric.21G003200.1",0.844
"Ceric.21G002900.1","Ceric.21G035400.1",0.836
"Ceric.21G002900.1","Ceric.05G058000.1",0.832
"Ceric.21G002900.1","Ceric.37G023400.1",0.828
"Ceric.21G002900.1","Ceric.29G069100.1",0.826
"Ceric.21G002900.1","Ceric.21G078600.1",0.824
"Ceric.21G002900.1","Ceric.07G029800.1",0.817
"Ceric.28G067600.1","Ceric.28G067600.1",1
"Ceric.28G067600.1","Ceric.13G073400.1",0.947
"Ceric.28G067600.1","Ceric.32G056100.1",0.939
"Ceric.28G067600.1","Ceric.05G093300.1",0.931
"Ceric.28G067600.1","Ceric.33G060000.1",0.918
"Ceric.28G067600.1","Ceric.34G047500.1",0.918
"Ceric.28G067600.1","Ceric.31G006600.1",0.914
"Ceric.28G067600.1","Ceric.22G058100.1",0.91
"Ceric.28G067600.1","Ceric.05G058000.1",0.903
"Ceric.28G067600.1","Ceric.21G078600.1",0.9
"Ceric.28G067600.1","Ceric.04G095100.1",0.898
"Ceric.28G067600.1","Ceric.11G098200.1",0.892
"Ceric.28G067600.1","Ceric.26G063000.1",0.892
"Ceric.28G067600.1","Ceric.22G052100.1",0.891
"Ceric.28G067600.1","Ceric.13G006600.1",0.89
"Ceric.28G067600.1","Ceric.34G038200.1",0.889
"Ceric.28G067600.1","Ceric.14G065000.1",0.887
"Ceric.28G067600.1","Ceric.04G022700.1",0.878
"Ceric.28G067600.1","Ceric.12G008100.1",0.876
"Ceric.28G067600.1","Ceric.17G068300.1",0.874
"Ceric.28G067600.1","Ceric.13G002600.1",0.873
"Ceric.28G067600.1","Ceric.17G064000.1",0.87
"Ceric.28G067600.1","Ceric.14G071000.1",0.869
"Ceric.28G067600.1","Ceric.31G037000.1",0.869
"Ceric.28G067600.1","Ceric.05G025100.1",0.867
"Ceric.28G067600.1","Ceric.21G053100.1",0.866
"Ceric.28G067600.1","Ceric.37G004500.1",0.866
"Ceric.28G067600.1","Ceric.26G008300.1",0.862
"Ceric.28G067600.1","Ceric.11G098400.1",0.86
"Ceric.28G067600.1","Ceric.03G061800.1",0.857
"Ceric.28G067600.1","Ceric.15G024100.1",0.853
"Ceric.28G067600.1","Ceric.19G077700.1",0.853
"Ceric.28G067600.1","Ceric.33G061400.1",0.853
"Ceric.28G067600.1","Ceric.01G019100.1",0.85
"Ceric.28G067600.1","Ceric.39G011000.1",0.848
"Ceric.28G067600.1","Ceric.32G005000.1",0.847
"Ceric.28G067600.1","Ceric.38G016000.1",0.847
"Ceric.28G067600.1","Ceric.07G030100.1",0.846
"Ceric.28G067600.1","Ceric.37G045000.1",0.846
"Ceric.28G067600.1","Ceric.02G092200.1",0.843
"Ceric.08G035200.1","Ceric.08G035200.1",1
"Ceric.08G035200.1","Ceric.02G024700.1",0.787
"Ceric.08G035200.1","Ceric.21G017300.1",0.783
"Ceric.08G035200.1","Ceric.16G056200.1",0.78
"Ceric.08G035200.1","Ceric.31G006600.1",0.772
"Ceric.08G035200.1","Ceric.07G023000.1",0.77
"Ceric.08G035200.1","Ceric.21G078600.1",0.749
"Ceric.08G035200.1","Ceric.33G061400.1",0.741
"Ceric.08G035200.1","Ceric.22G048900.1",0.74
"Ceric.08G035200.1","Ceric.33G017000.1",0.739
"Ceric.21G004700.1","Ceric.21G004700.1",1
"Ceric.21G004700.1","Ceric.32G005000.1",0.871
"Ceric.21G004700.1","Ceric.01G060900.1",0.841
"Ceric.21G004700.1","Ceric.26G025400.1",0.832
"Ceric.21G004700.1","Ceric.12G037300.1",0.825
"Ceric.21G004700.1","Ceric.10G032000.1",0.821
"Ceric.21G004700.1","Ceric.08G040200.1",0.816
"Ceric.21G004700.1","Ceric.23G029800.1",0.815
"Ceric.21G004700.1","Ceric.18G009000.1",0.808
"Ceric.21G004700.1","Ceric.16G004000.1",0.804
"Ceric.16G045700.1","Ceric.16G045700.1",1
"Ceric.16G045700.1","Ceric.24G052300.1",0.765
"Ceric.16G045700.1","Ceric.03G071100.1",0.701
"Ceric.16G045700.1","Ceric.27G067400.1",0.689
"Ceric.16G045700.1","Ceric.29G073300.1",0.68
"Ceric.16G045700.1","Ceric.15G018100.1",0.678
"Ceric.16G045700.1","Ceric.07G014600.1",0.677
"Ceric.16G045700.1","Ceric.29G086600.1",0.677
"Ceric.16G045700.1","Ceric.07G010400.1",0.672
"Ceric.16G045700.1","Ceric.08G061900.1",0.672
"Ceric.16G045700.1","Ceric.20G082500.1",0.672
"Ceric.16G045700.1","Ceric.03G071000.1",0.67
"Ceric.16G045700.1","Ceric.16G057700.1",0.665
"Ceric.16G045700.1","Ceric.10G059700.1",0.664
"Ceric.16G045700.1","Ceric.17G034400.1",0.664
"Ceric.16G045700.1","Ceric.29G077200.1",0.664
"Ceric.16G045700.1","Ceric.12G030600.1",0.663
"Ceric.16G045700.1","Ceric.13G084800.1",0.663
"Ceric.16G045700.1","Ceric.02G011400.1",0.659
"Ceric.16G045700.1","Ceric.09G060300.1",0.659
"Ceric.16G045700.1","Ceric.26G036300.1",0.658
"Ceric.16G045700.1","Ceric.07G014400.1",0.656
"Ceric.16G045700.1","Ceric.06G066500.1",0.655
"Ceric.16G045700.1","Ceric.02G036100.1",0.654
"Ceric.16G045700.1","Ceric.26G013700.1",0.654
"Ceric.16G045700.1","Ceric.15G026800.1",0.653
"Ceric.16G045700.1","Ceric.23G000400.1",0.653
"Ceric.16G045700.1","Ceric.38G044300.1",0.653
"Ceric.16G045700.1","Ceric.15G068000.1",0.652
"Ceric.16G045700.1","Ceric.03G002700.1",0.651
"Ceric.16G045700.1","Ceric.18G006300.1",0.651
"Ceric.16G045700.1","Ceric.1Z114200.1",0.651
"Ceric.16G045700.1","Ceric.25G042200.1",0.651
"Ceric.16G045700.1","Ceric.39G025500.1",0.651
"Ceric.16G045700.1","Ceric.15G030800.1",0.65
"Ceric.16G045700.1","Ceric.12G084200.1",0.649
"Ceric.16G045700.1","Ceric.14G087300.1",0.649
"Ceric.16G045700.1","Ceric.18G081800.1",0.649
"Ceric.16G045700.1","Ceric.28G057300.1",0.649
"Ceric.16G045700.1","Ceric.33G058600.1",0.649
"Ceric.16G045700.1","Ceric.01G008900.1",0.648
"Ceric.16G045700.1","Ceric.15G020100.1",0.648
"Ceric.16G045700.1","Ceric.20G012900.1",0.648
"Ceric.16G045700.1","Ceric.07G067400.1",0.647
"Ceric.16G045700.1","Ceric.13G011000.1",0.647
"Ceric.16G045700.1","Ceric.22G055400.1",0.646
"Ceric.16G045700.1","Ceric.04G100000.1",0.645
"Ceric.16G045700.1","Ceric.1Z261000.1",0.645
"Ceric.16G045700.1","Ceric.10G020500.1",0.644
"Ceric.16G045700.1","Ceric.14G070400.1",0.644
"Ceric.21G017300.1","Ceric.21G017300.1",1
"Ceric.21G017300.1","Ceric.01G108200.1",0.847
"Ceric.21G017300.1","Ceric.18G030300.1",0.842
"Ceric.21G017300.1","Ceric.09G071900.1",0.841
"Ceric.21G017300.1","Ceric.13G067600.1",0.823
"Ceric.21G017300.1","Ceric.17G023900.1",0.823
"Ceric.21G017300.1","Ceric.1Z074700.1",0.823
"Ceric.21G017300.1","Ceric.28G066900.1",0.822
"Ceric.21G017300.1","Ceric.33G017000.1",0.821
"Ceric.21G017300.1","Ceric.39G049000.1",0.815
"Ceric.06G079300.1","Ceric.06G079300.1",1
"Ceric.06G079300.1","Ceric.02G020400.1",0.753
"Ceric.06G079300.1","Ceric.21G017300.1",0.747
"Ceric.06G079300.1","Ceric.31G006600.1",0.744
"Ceric.06G079300.1","Ceric.14G059000.1",0.743
"Ceric.06G079300.1","Ceric.18G030300.1",0.738
"Ceric.06G079300.1","Ceric.01G108200.1",0.734
"Ceric.06G079300.1","Ceric.29G034200.1",0.732
"Ceric.06G079300.1","Ceric.25G056000.1",0.73
"Ceric.06G079300.1","Ceric.21G078600.1",0.726
"Ceric.16G056200.1","Ceric.16G056200.1",1
"Ceric.16G056200.1","Ceric.21G017300.1",0.806
"Ceric.16G056200.1","Ceric.10G050900.1",0.803
"Ceric.16G056200.1","Ceric.33G017000.1",0.786
"Ceric.16G056200.1","Ceric.08G035200.1",0.78
"Ceric.16G056200.1","Ceric.33G060000.1",0.773
"Ceric.16G056200.1","Ceric.02G020400.1",0.761
"Ceric.16G056200.1","Ceric.1Z074700.1",0.761
"Ceric.16G056200.1","Ceric.25G044400.1",0.76
"Ceric.16G056200.1","Ceric.33G064400.1",0.754
"Ceric.16G056200.1","Ceric.31G037000.1",0.75
"Ceric.16G056200.1","Ceric.07G023000.1",0.749
"Ceric.16G056200.1","Ceric.09G012000.1",0.748
"Ceric.16G056200.1","Ceric.32G056100.1",0.748
"Ceric.16G056200.1","Ceric.31G006600.1",0.746
"Ceric.16G056200.1","Ceric.11G098400.1",0.745
"Ceric.16G056200.1","Ceric.12G020400.1",0.745
"Ceric.16G056200.1","Ceric.37G023400.1",0.745
"Ceric.16G056200.1","Ceric.12G019700.1",0.744
"Ceric.16G056200.1","Ceric.06G056400.1",0.743
"Ceric.16G056200.1","Ceric.17G023900.1",0.742
"Ceric.16G056200.1","Ceric.01G002100.1",0.739
"Ceric.16G056200.1","Ceric.18G030300.1",0.739
"Ceric.16G056200.1","Ceric.30G018000.1",0.739
"Ceric.16G056200.1","Ceric.21G078600.1",0.734
"Ceric.16G056200.1","Ceric.19G041300.1",0.733
"Ceric.16G056200.1","Ceric.19G077700.1",0.733
"Ceric.16G056200.1","Ceric.20G046800.1",0.733
"Ceric.16G056200.1","Ceric.39G011000.1",0.733
"Ceric.16G056200.1","Ceric.25G033600.1",0.732
"Ceric.16G056200.1","Ceric.38G013100.1",0.732
"Ceric.16G056200.1","Ceric.01G126000.1",0.731
"Ceric.16G056200.1","Ceric.03G024500.1",0.731
"Ceric.16G056200.1","Ceric.06G025700.1",0.731
"Ceric.16G056200.1","Ceric.30G035700.1",0.729
"Ceric.16G056200.1","Ceric.37G045300.1",0.728
"Ceric.16G056200.1","Ceric.22G075100.1",0.727
"Ceric.16G056200.1","Ceric.36G034000.1",0.727
"Ceric.16G056200.1","Ceric.39G049000.1",0.727
"Ceric.16G056200.1","Ceric.39G029200.1",0.726
"Ceric.16G056200.1","Ceric.11G098200.1",0.725
"Ceric.16G056200.1","Ceric.23G029800.1",0.725
"Ceric.16G056200.1","Ceric.26G008300.1",0.725
"Ceric.16G056200.1","Ceric.22G048900.1",0.723
"Ceric.16G056200.1","Ceric.07G065700.1",0.721
"Ceric.16G056200.1","Ceric.19G053900.1",0.72
"Ceric.16G056200.1","Ceric.01G108200.1",0.719
"Ceric.16G056200.1","Ceric.13G087600.1",0.719
"Ceric.16G056200.1","Ceric.15G050000.1",0.718
"Ceric.16G056200.1","Ceric.26G012800.1",0.718
"Ceric.16G056200.1","Ceric.32G005000.1",0.715
"Ceric.16G056200.1","Ceric.27G003200.1",0.714
"Ceric.16G056200.1","Ceric.21G003200.1",0.713
"Ceric.16G056200.1","Ceric.11G021500.1",0.711
"Ceric.16G056200.1","Ceric.15G040100.1",0.709
"Ceric.16G056200.1","Ceric.11G016100.1",0.708
"Ceric.16G056200.1","Ceric.05G058000.1",0.707
"Ceric.16G056200.1","Ceric.01G126300.1",0.706
"Ceric.16G056200.1","Ceric.22G017600.1",0.706
"Ceric.16G056200.1","Ceric.30G048400.1",0.706
"Ceric.16G056200.1","Ceric.26G025400.1",0.705
"Ceric.16G056200.1","Ceric.31G031900.1",0.705
"Ceric.16G056200.1","Ceric.10G063200.1",0.704
"Ceric.16G056200.1","Ceric.11G011600.1",0.704
"Ceric.16G056200.1","Ceric.21G022000.1",0.704
"Ceric.16G056200.1","Ceric.36G019900.1",0.704
"Ceric.16G056200.1","Ceric.26G059500.1",0.703
"Ceric.16G056200.1","Ceric.28G010600.1",0.703
"Ceric.16G056200.1","Ceric.1Z074600.1",0.702
"Ceric.16G056200.1","Ceric.33G061400.1",0.702
"Ceric.16G056200.1","Ceric.15G007600.1",0.701
"Ceric.16G056200.1","Ceric.33G039400.1",0.701
"Ceric.16G056200.1","Ceric.07G011000.1",0.698
"Ceric.16G056200.1","Ceric.10G071200.1",0.697
"Ceric.16G056200.1","Ceric.31G004900.1",0.694
"Ceric.16G056200.1","Ceric.02G061500.1",0.693
"Ceric.16G056200.1","Ceric.03G035500.1",0.693
"Ceric.16G056200.1","Ceric.07G097300.1",0.693
"Ceric.16G056200.1","Ceric.28G067600.1",0.692
"Ceric.16G056200.1","Ceric.01G126400.1",0.691
"Ceric.07G023000.1","Ceric.07G023000.1",1
"Ceric.07G023000.1","Ceric.1Z074700.1",0.792
"Ceric.07G023000.1","Ceric.01G126000.1",0.779
"Ceric.07G023000.1","Ceric.08G035200.1",0.77
"Ceric.07G023000.1","Ceric.22G048900.1",0.77
"Ceric.07G023000.1","Ceric.26G031400.1",0.77
"Ceric.07G023000.1","Ceric.21G003200.1",0.767
"Ceric.07G023000.1","Ceric.27G003200.1",0.766
"Ceric.07G023000.1","Ceric.21G078600.1",0.765
"Ceric.07G023000.1","Ceric.02G020400.1",0.764
